ID,SCIENTIFIC NAME,LATITUDE,LONGITUDE,TIMESTAMP
A,Setophaga,38.24374051,-71.32138394,2013-08-27 04:46:00.000
A,Setophaga,44.27150353,-73.4271359,2013-08-27 16:55:00.000
A,Setophaga,44.43836909,-73.54260539,2013-08-28 04:55:00.000
A,Setophaga,44.34506034,-73.31914937,2013-08-28 16:54:00.000
A,Setophaga,43.99647244,-73.64224831,2013-08-29 04:55:00.000
A,Setophaga,44.60782478,-73.69734838,2013-08-29 16:55:00.000
A,Setophaga,43.68946191,-74.23548853,2013-08-30 04:57:00.000
A,Setophaga,42.00754434,-73.45429157,2013-08-30 16:54:00.000
A,Setophaga,39.80028831,-74.34735318,2013-08-31 04:57:00.000
A,Setophaga,30.47234733,-71.68847049,2013-08-31 16:46:00.000
A,Setophaga,34.7254085,-70.76233282,2013-09-01 04:43:00.000
A,Setophaga,43.46462196,-73.18260995,2013-09-01 16:52:00.000
A,Setophaga,37.96152504,-75.02513623,2013-09-02 04:59:00.000
A,Setophaga,36.22413674,-74.4220544,2013-09-02 16:57:00.000
A,Setophaga,28.5624863,-76.28027439,2013-09-03 05:04:00.000
A,Setophaga,30.31979497,-76.53167941,2013-09-03 17:05:00.000
A,Setophaga,38.61480476,-74.75149981,2013-09-04 04:58:00.000
A,Setophaga,36.85835232,-74.16770166,2013-09-04 16:55:00.000
A,Setophaga,37.61442278,-74.13286036,2013-09-05 04:55:00.000
A,Setophaga,36.10139912,-73.64007629,2013-09-05 16:53:00.000
A,Setophaga,39.96393301,-72.88519958,2013-09-06 04:49:00.000
A,Setophaga,43.6443129,-73.67045534,2013-09-06 16:52:00.000
A,Setophaga,42.12251251,-74.25280718,2013-09-07 04:55:00.000
A,Setophaga,24.19576175,-70.69205641,2013-09-07 16:40:00.000
A,Setophaga,24.22336774,-70.77467915,2013-09-08 04:40:00.000
A,Setophaga,36.3721365,-72.67001297,2013-09-08 16:48:00.000
A,Setophaga,40.71818701,-71.93311175,2013-09-09 04:45:00.000
A,Setophaga,43.93081949,-72.48772299,2013-09-09 16:47:00.000
A,Setophaga,40.47125876,-73.42782375,2013-09-10 04:50:00.000
A,Setophaga,32.07866954,-71.81482761,2013-09-10 16:44:00.000
A,Setophaga,30.08861547,-72.21948786,2013-09-11 04:45:00.000
A,Setophaga,32.42501603,-72.43010243,2013-09-11 16:46:00.000
A,Setophaga,28.62814828,-73.0509603,2013-09-12 04:48:00.000
A,Setophaga,5.112353715,-70.76856914,2013-09-12 16:39:00.000
A,Setophaga,8.638471208,-70.5314577,2013-09-13 04:38:00.000
A,Setophaga,17.76904759,-71.20839523,2013-09-13 16:40:00.000
A,Setophaga,30.0215665,-70.11080985,2013-09-14 04:36:00.000
A,Setophaga,40.52774763,-71.32744083,2013-09-14 16:40:00.000
A,Setophaga,49.96354301,-69.81875708,2013-09-15 04:34:00.000
A,Setophaga,43.81027693,-68.46780828,2013-09-15 16:28:00.000
A,Setophaga,51.73786353,-67.20648279,2013-09-16 04:23:00.000
A,Setophaga,24.16891223,-63.53764058,2013-09-16 16:08:00.000
A,Setophaga,23.81782688,-63.6495537,2013-09-17 04:09:00.000
A,Setophaga,13.44863616,-62.97491924,2013-09-17 16:06:00.000
A,Setophaga,29.00817183,-62.12505078,2013-09-18 04:02:00.000
A,Setophaga,44.03071053,-63.37824807,2013-09-18 16:07:00.000
A,Setophaga,46.45363439,-63.27467258,2013-09-19 04:06:00.000
A,Setophaga,47.25582568,-63.16734632,2013-09-19 16:06:00.000
A,Setophaga,40.0815642,-64.09490965,2013-09-20 04:09:00.000
A,Setophaga,20.80777713,-62.60756014,2013-09-21 16:03:00.000
A,Setophaga,23.453677,-62.61064521,2013-09-22 04:03:00.000
A,Setophaga,-7.842386828,-63.40220641,2013-09-25 04:05:00.000
A,Setophaga,29.35608282,-62.05756866,2013-09-28 03:58:00.000
A,Setophaga,16.00104872,-62.26627939,2013-09-28 15:59:00.000
A,Setophaga,4.757918976,-61.92560961,2013-09-29 03:58:00.000
A,Setophaga,31.15178948,-60.99190126,2013-09-29 15:54:00.000
A,Setophaga,58.68747796,-61.94186668,2013-09-30 03:57:00.000
A,Setophaga,47.37509818,-62.05161758,2013-09-30 15:58:00.000
A,Setophaga,39.06093702,-61.90210935,2013-10-01 03:57:00.000
A,Setophaga,53.3679567,-60.99855878,2013-10-01 15:53:00.000
A,Setophaga,61.13478816,-61.86096514,2013-10-02 03:56:00.000
A,Setophaga,31.28597378,-63.60340583,2013-10-02 16:03:00.000
A,Setophaga,40.41378581,-64.30075353,2013-10-03 04:06:00.000
A,Setophaga,49.91778005,-63.3874028,2013-10-03 16:02:00.000
A,Setophaga,55.03401571,-64.14776681,2013-10-04 04:05:00.000
A,Setophaga,51.29490921,-64.30184295,2013-10-04 16:05:00.000
A,Setophaga,54.18811681,-64.89834587,2013-10-05 04:08:00.000
A,Setophaga,58.83674337,-63.92018983,2013-10-05 16:04:00.000
A,Setophaga,46.21368938,-62.43443231,2013-10-06 03:57:00.000
A,Setophaga,47.58433705,-62.06334935,2013-10-06 15:56:00.000
A,Setophaga,54.88499356,-63.38417513,2013-10-07 04:01:00.000
A,Setophaga,52.37460026,-63.54874825,2013-10-07 16:01:00.000
A,Setophaga,45.77658847,-62.76034193,2013-10-08 03:58:00.000
A,Setophaga,46.39809446,-62.47071475,2013-10-08 15:57:00.000
A,Setophaga,52.71849463,-63.78247051,2013-10-09 04:02:00.000
A,Setophaga,48.78715323,-64.28100057,2013-10-09 16:04:00.000
A,Setophaga,40.90015292,-63.18957547,2013-10-10 03:59:00.000
A,Setophaga,45.98353836,-62.18413094,2013-10-10 15:55:00.000
A,Setophaga,44.88238709,-62.18122061,2013-10-11 03:55:00.000
A,Setophaga,49.72772892,-61.02652102,2013-10-11 15:50:00.000
A,Setophaga,59.79762944,-64.05883273,2013-10-12 04:02:00.000
A,Setophaga,41.45232216,-68.32289767,2013-10-12 16:19:00.000
A,Setophaga,35.36348298,-67.42488285,2013-10-13 04:15:00.000
A,Setophaga,27.8758246,-68.48142751,2013-10-13 16:20:00.000
A,Setophaga,33.26993537,-69.44869529,2013-10-14 04:23:00.000
A,Setophaga,15.27307521,-72.11031251,2013-10-14 16:34:00.000
A,Setophaga,18.06572911,-72.57634979,2013-10-15 04:36:00.000
A,Setophaga,34.94378379,-69.70379044,2013-10-15 16:24:00.000
A,Setophaga,31.07024727,-69.11379781,2013-10-16 04:22:00.000
A,Setophaga,18.53821021,-71.1407878,2013-10-16 16:30:00.000
A,Setophaga,20.24994489,-71.48601509,2013-10-17 04:31:00.000
A,Setophaga,16.82147292,-71.99590582,2013-10-17 16:33:00.000
A,Setophaga,11.11273911,-71.08950383,2013-10-18 04:29:00.000
A,Setophaga,9.470570544,-71.33387333,2013-10-18 16:30:00.000
A,Setophaga,10.36592774,-71.51872922,2013-10-19 04:31:00.000
A,Setophaga,13.32191085,-70.96196895,2013-10-19 16:28:00.000
A,Setophaga,9.174399137,-70.25505874,2013-10-20 04:25:00.000
A,Setophaga,3.904763855,-71.19334466,2013-10-20 16:29:00.000
A,Setophaga,7.052193792,-71.79236956,2013-10-21 04:31:00.000
A,Setophaga,10.18275479,-71.1770078,2013-10-21 16:29:00.000
A,Setophaga,8.185848661,-70.82240808,2013-10-22 04:27:00.000
A,Setophaga,10.13995523,-70.41399386,2013-10-22 16:26:00.000
A,Setophaga,9.315866468,-70.28015712,2013-10-23 04:25:00.000
A,Setophaga,17.33854692,-68.60381483,2013-10-23 16:18:00.000
A,Setophaga,15.62453433,-68.29544406,2013-10-24 04:17:00.000
A,Setophaga,11.22860343,-69.17837845,2013-10-24 16:20:00.000
A,Setophaga,12.42291096,-69.4678877,2013-10-25 04:21:00.000
A,Setophaga,13.25050301,-69.24982649,2013-10-25 16:20:00.000
A,Setophaga,11.55490841,-68.91545889,2013-10-26 04:19:00.000
A,Setophaga,16.00365718,-67.87767475,2013-10-26 16:15:00.000
A,Setophaga,15.92050241,-67.90749475,2013-10-27 04:15:00.000
A,Setophaga,12.59586769,-68.63204939,2013-10-27 16:18:00.000
A,Setophaga,12.2127067,-68.57992484,2013-10-28 04:18:00.000
A,Setophaga,15.03462953,-67.87133047,2013-10-28 16:15:00.000
A,Setophaga,16.8594963,-68.36307682,2013-10-29 04:17:00.000
A,Setophaga,16.41668201,-68.42251249,2013-10-29 16:17:00.000
A,Setophaga,15.25955518,-68.18105688,2013-10-30 04:16:00.000
A,Setophaga,16.53141891,-67.81236295,2013-10-30 16:14:00.000
